Event,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Probability
E4057,9.69,8.15,1.42,3.29,9.16,5.31,3.61,3.22,0.21,0.00027552
E4058,4.79,7.95,6.88,3.0,0.53,7.25,2.16,7.49,1.29,0.00020067
E4059,0.99,9.63,5.17,9.64,7.72,2.86,3.84,7.57,4.8,0.00024328
E4060,9.56,2.63,5.56,3.78,4.07,3.42,1.5,4.24,4.34,0.00011907
E4061,8.94,4.37,9.49,9.17,5.59,4.9,2.93,9.73,9.79,0.00034984
E4062,1.76,1.8,6.44,3.89,7.87,8.12,4.2,9.62,0.33,0.00034124
E4063,1.96,6.23,6.41,8.61,0.83,3.53,9.0,8.83,3.81,4.018e-05
E4064,3.0,7.55,1.31,7.52,5.8,0.14,5.69,8.46,8.68,0.00038679
E4065,9.01,6.32,6.76,4.03,3.74,6.78,1.24,6.69,2.2,2.323e-05
E4066,8.18,1.29,9.23,3.5,5.88,5.96,5.17,9.13,4.51,0.00011733
E4067,8.07,3.42,8.86,6.47,4.69,8.0,8.09,5.7,0.7,0.00029022
E4068,7.56,7.7,0.45,2.87,6.04,3.21,4.74,4.11,1.95,0.00020347
E4069,0.08,2.54,9.09,2.75,4.93,3.76,5.22,6.38,7.18,0.00017873
E4070,5.43,6.8,4.67,7.41,3.81,7.17,9.2,7.18,4.68,0.00034783
E4071,5.35,0.42,8.56,8.14,8.65,5.07,8.9,8.37,4.17,9.064e-05
E4072,6.24,4.68,3.96,3.96,3.78,7.96,1.18,4.03,8.33,2.49e-06
E4073,4.13,9.29,5.05,5.77,0.85,3.82,2.64,7.41,7.74,0.00019571
E4074,4.84,4.51,9.86,5.2,2.67,2.19,9.74,4.58,0.85,8.7e-06
E4075,2.8,6.26,0.82,4.3,8.54,6.35,6.12,6.24,8.47,0.00015528
E4076,8.99,8.36,8.83,5.45,3.37,1.43,1.12,3.39,0.7,5.057e-05
E4077,7.28,7.86,2.59,6.97,6.07,0.07,2.15,9.55,0.6,0.0003832
E4078,1.08,7.36,4.8,9.4,6.6,4.55,8.25,9.47,7.84,0.00022258
E4079,5.66,7.31,3.3,9.33,4.72,6.07,9.89,9.7,8.85,0.00033738
E4080,8.58,9.51,8.84,2.0,6.32,6.13,3.26,7.78,8.63,0.00035711
E4081,8.76,7.56,8.32,5.55,6.2,7.24,0.89,4.28,1.85,0.00036997
E4082,3.7,4.01,0.51,0.1,9.21,8.64,0.98,3.9,3.54,0.00035001
E4083,0.5,1.26,4.96,0.32,9.18,1.65,2.27,6.02,2.28,3.489e-05
E4084,5.75,1.61,2.27,0.01,3.87,1.43,1.21,0.26,0.18,8.621e-05
E4085,4.67,0.05,8.51,7.33,6.11,1.28,5.64,3.15,4.58,0.00036161
E4086,9.79,5.31,8.77,0.16,2.53,8.75,6.38,0.99,3.22,0.00022942
E4087,3.49,5.55,9.26,7.52,0.56,7.3,5.22,4.69,7.91,0.00029685
E4088,7.48,1.55,8.28,7.17,6.13,0.04,1.14,6.56,9.43,2.994e-05
E4089,7.44,3.1,8.64,9.91,5.91,0.81,5.06,2.25,2.63,0.00039191
E4090,4.99,7.17,5.73,8.04,3.86,8.79,5.68,3.1,0.46,0.00031571
E4091,3.77,3.4,2.45,8.49,0.1,9.52,0.95,1.24,2.95,2.46e-05
E4092,1.32,4.45,9.32,2.69,1.75,9.9,6.73,7.48,3.98,0.00035583
E4093,3.56,0.72,8.88,3.93,7.66,6.5,0.49,8.79,9.66,0.00018886
E4094,0.97,5.07,5.71,8.13,7.07,5.41,0.49,1.48,6.82,0.00034372
E4095,4.79,8.6,8.95,4.07,9.83,2.51,4.96,2.58,3.07,0.00032612
E4096,6.4,5.56,4.79,0.27,9.22,1.63,0.86,2.28,1.94,0.00031548
E4097,4.57,8.57,0.25,4.99,4.56,1.16,8.24,8.41,1.96,1.75e-05
E4098,8.11,3.08,7.0,9.7,7.14,8.97,0.13,8.22,4.35,0.00014271
E4099,9.9,1.12,7.44,9.09,8.22,1.63,9.49,8.21,0.02,0.00021491
E4100,4.9,7.58,6.34,9.33,0.11,4.54,3.28,1.72,8.03,4.554e-05
E4101,3.95,0.25,1.65,0.54,9.98,1.83,6.19,2.37,4.82,0.00029572
E4102,8.19,4.75,3.56,5.05,0.24,9.7,9.6,9.24,4.8,5.778e-05
E4103,5.35,7.4,0.05,2.71,6.84,5.54,4.11,0.65,9.2,0.00025052
E4104,5.88,2.81,3.97,4.44,2.15,3.03,6.49,3.93,0.29,0.00022741
E4105,2.82,3.87,2.05,2.07,6.3,7.76,3.62,3.27,7.48,0.00027071
E4106,7.65,0.89,8.26,2.15,0.34,0.3,1.42,5.06,6.17,0.00027889
E4107,0.84,6.23,5.54,1.83,3.44,6.56,1.87,6.53,3.66,0.00035278
E4108,0.1,0.89,8.25,2.68,6.78,2.8,6.4,7.74,2.05,0.00023578
E4109,2.84,7.61,5.55,7.39,1.04,8.32,6.86,1.37,5.93,0.00039548
E4110,5.92,0.27,0.51,8.43,8.95,9.24,7.32,4.91,6.12,8.773e-05
E4111,2.5,9.87,3.33,1.71,8.43,2.93,4.35,0.34,5.9,0.00023994
E4112,1.6,5.39,1.05,0.3,1.57,2.5,4.01,1.91,7.88,8.018e-05
E4113,9.18,3.24,7.94,7.71,5.52,3.34,7.74,7.58,1.27,0.00029257
E4114,5.98,7.98,9.57,6.75,3.67,0.89,0.77,8.37,2.7,0.00012809
E4115,9.15,1.48,8.46,9.04,9.53,8.66,9.68,9.72,0.05,6.7e-07
E4116,1.36,5.72,8.25,4.46,7.82,7.44,0.75,6.74,1.53,0.00015097
E4117,7.54,0.26,2.99,3.82,0.5,6.14,5.54,3.56,7.73,8e-06
E4118,1.18,5.2,6.27,2.76,2.13,4.55,9.55,2.85,7.53,2.54e-05
E4119,0.4,0.21,5.76,5.94,1.81,2.03,9.44,0.15,0.95,4.104e-05
E4120,9.24,1.48,6.41,6.24,8.59,1.18,6.32,6.93,9.55,0.00023892
E4121,1.15,0.5,0.05,3.84,5.09,8.83,5.1,4.58,4.32,0.00036309
E4122,6.27,3.2,1.67,9.51,5.6,3.11,6.49,2.45,4.02,2.047e-05
E4123,1.67,7.87,6.35,0.97,1.58,2.75,4.79,4.28,6.65,4.392e-05
E4124,2.98,4.69,3.24,3.92,6.14,9.96,0.51,4.9,0.61,0.00022918
E4125,4.91,9.4,0.81,7.24,9.41,7.42,0.44,3.88,3.44,0.0003351
E4126,1.2,6.27,2.84,9.79,8.59,4.27,8.41,5.01,9.8,0.00019596
E4127,0.42,5.08,1.66,0.28,3.42,8.14,7.92,3.22,3.59,5.831e-05
E4128,1.82,9.28,2.53,5.03,0.55,2.85,0.82,7.08,4.8,0.0002123
E4129,5.45,0.35,9.2,5.03,5.64,8.65,9.68,1.9,2.7,0.00035287
E4130,7.57,6.9,6.55,3.65,1.27,9.2,6.42,0.96,4.68,0.0003262
E4131,9.51,7.49,1.7,4.23,2.41,8.21,8.77,2.37,0.81,0.00035184
E4132,9.35,3.14,6.89,4.23,0.41,9.17,9.01,1.28,1.55,0.00015081
E4133,4.32,3.31,2.74,4.7,3.97,3.84,7.07,4.86,8.0,0.00016268
E4134,4.98,3.51,7.66,9.0,4.24,0.37,5.13,1.66,6.55,5.016e-05
E4135,3.79,7.84,5.07,1.96,9.46,0.76,6.88,4.05,4.05,0.00029993
E4136,9.06,5.43,9.19,6.56,4.65,2.73,7.54,8.19,9.98,0.00029883
E4137,4.12,6.61,6.14,5.42,3.67,1.03,7.37,4.73,5.9,1.347e-05
E4138,0.71,8.96,2.34,5.35,4.03,6.69,7.23,5.58,8.66,4.3e-05
E4139,8.4,9.8,4.36,5.87,2.94,1.74,2.09,7.34,6.93,0.00017834
E4140,4.88,0.67,8.8,6.61,4.53,3.82,0.22,8.43,7.09,0.00011831
E4141,3.22,6.61,0.81,5.62,8.6,1.58,8.87,4.51,2.15,0.00010446
E4142,9.29,2.53,9.68,7.1,8.85,3.69,9.58,4.57,4.23,0.00031921
E4143,3.46,2.21,7.71,2.49,1.48,8.62,6.26,0.48,5.78,0.00033564
E4144,6.3,9.8,9.15,3.8,4.86,1.81,6.11,8.32,1.21,0.0003575
E4145,0.34,8.12,6.95,1.72,4.24,0.94,8.24,0.6,9.39,0.00034303
E4146,6.2,6.41,0.3,3.21,7.56,4.81,9.34,9.56,2.93,0.00024846
E4147,2.28,7.13,2.87,3.4,9.8,2.59,8.46,3.02,3.14,0.00023609
E4148,3.1,2.32,6.15,8.24,9.57,6.73,4.67,1.41,8.84,2.77e-06
E4149,2.55,1.34,8.52,0.71,5.46,8.0,6.04,8.21,9.1,0.00027778
E4150,4.59,3.26,3.23,4.08,0.0,2.44,4.09,2.04,2.99,0.00016636
E4151,1.66,2.28,4.25,7.13,2.46,6.58,2.27,2.87,6.83,0.0003792
E4152,7.62,2.72,6.64,4.12,6.05,4.12,8.29,3.25,0.37,0.0003314
E4153,9.73,4.34,4.58,5.64,1.81,9.98,7.4,0.05,6.4,0.00011559
E4154,4.27,7.82,2.23,5.6,3.6,1.45,5.86,8.04,9.35,0.00020572
E4155,8.06,7.51,2.9,8.92,9.63,6.22,5.43,8.95,5.56,0.00020282
E4156,5.15,0.68,4.01,9.38,6.51,8.62,8.4,0.25,6.44,0.00037351
E4157,1.79,7.02,2.21,3.96,5.17,8.55,7.78,0.78,0.26,0.0003288
E4158,6.89,6.93,3.75,7.19,7.42,5.66,1.49,1.76,9.68,0.00021181
E4159,8.19,7.48,2.18,0.51,5.12,0.84,2.88,7.9,8.76,0.0001915
E4160,8.78,3.3,5.36,7.51,6.09,6.6,2.25,2.98,9.33,7.886e-05
E4161,3.55,8.78,3.75,1.93,3.68,5.61,9.82,9.09,4.38,6.756e-05
E4162,1.52,7.51,9.88,8.29,4.1,4.71,5.47,7.56,0.11,6.991e-05
E4163,1.59,5.33,0.75,8.18,2.04,5.96,7.36,1.67,9.35,0.00034874
E4164,3.51,5.57,8.64,6.31,0.02,2.99,9.91,0.57,0.98,0.00034683
E4165,2.27,5.78,9.87,5.02,3.92,6.44,0.19,2.37,0.38,0.0001109
E4166,9.61,3.08,7.04,1.68,4.06,2.5,3.26,9.36,9.31,0.00015435
E4167,6.37,6.84,4.53,6.99,5.95,7.16,1.66,0.08,9.41,3.096e-05
E4168,7.6,3.92,8.75,0.21,9.94,7.93,4.2,9.86,0.0,0.00020708
E4169,7.7,3.39,7.91,7.66,7.59,0.83,2.72,6.67,1.6,0.00036917
E4170,1.68,6.22,4.32,3.81,0.44,7.68,7.63,9.22,5.1,0.00011318
E4171,6.06,5.59,8.46,8.76,3.3,5.43,9.87,2.6,2.4,0.00034698
E4172,4.0,2.75,2.28,9.42,2.9,1.11,0.03,8.53,4.76,0.00038709
E4173,5.1,7.47,1.19,9.34,4.68,5.17,0.41,9.58,6.11,0.00012018
E4174,0.27,5.07,0.21,4.42,6.05,3.75,1.43,2.73,9.02,0.00012695
E4175,2.71,6.24,6.36,8.2,5.78,6.66,4.66,8.32,9.19,0.00031653
E4176,5.07,2.43,9.37,8.96,9.02,3.83,3.69,1.51,7.15,0.00028474
E4177,0.79,9.48,0.83,6.11,8.3,0.03,6.7,9.55,6.98,7.494e-05
E4178,0.87,0.08,7.29,8.13,7.98,6.19,0.74,6.75,7.17,0.00033988
E4179,7.79,2.64,5.63,5.47,7.22,9.62,3.36,3.62,9.21,4.41e-05
E4180,0.38,5.81,5.7,9.74,1.98,0.4,0.75,6.05,3.76,0.00026966
E4181,9.07,8.58,9.97,5.15,5.64,6.6,4.4,5.88,4.71,0.00033665
E4182,5.71,8.23,7.63,7.11,0.5,6.65,6.33,9.68,1.04,1.796e-05
E4183,4.25,7.46,4.66,6.41,5.85,8.59,7.21,9.04,8.58,0.00022092
E4184,8.14,4.08,9.29,8.87,8.25,0.44,2.64,4.27,4.05,8.706e-05
E4185,0.02,8.56,8.53,4.12,2.86,4.23,9.05,4.75,9.32,0.00015194
E4186,6.21,5.52,6.17,6.0,7.5,2.24,4.47,3.35,3.17,0.00010344
E4187,2.68,7.07,1.5,2.0,6.11,4.77,0.6,5.91,4.03,0.00021455
E4188,9.63,4.01,3.46,7.56,5.88,9.89,5.2,1.79,1.72,0.00029797
E4189,3.65,5.44,2.0,0.53,3.66,3.4,6.76,9.49,3.83,0.00022341
E4190,8.4,3.47,6.26,2.42,7.47,9.48,9.62,4.24,6.75,0.0003242
E4191,9.58,2.07,1.21,6.9,1.44,5.75,4.32,4.42,1.88,0.00011411
E4192,7.81,9.06,3.86,9.43,3.23,1.86,2.77,2.89,6.44,0.00030079
E4193,7.93,3.39,8.97,9.06,9.99,9.56,6.69,3.37,1.59,5.672e-05
E4194,8.88,0.86,5.03,2.67,6.58,1.45,0.05,5.67,6.55,0.00034245
E4195,4.16,8.11,9.25,0.87,2.95,7.76,2.54,8.47,1.34,0.00024095
E4196,7.75,2.81,3.46,5.5,7.51,7.87,5.66,5.85,9.75,0.00031627
E4197,0.01,6.65,9.79,7.45,6.8,6.17,6.06,7.98,1.2,0.00032692
E4198,9.35,2.87,3.8,3.65,7.08,0.78,3.21,8.41,5.95,0.00015623
E4199,3.73,1.83,7.8,9.41,8.43,5.2,8.42,4.65,6.91,2.243e-05
E4200,7.2,8.17,1.63,8.08,9.46,4.09,2.96,0.5,3.22,0.00022188
E4201,7.76,0.77,0.89,6.95,6.97,2.87,3.2,4.03,1.81,0.0002993
E4202,9.17,3.3,7.24,6.89,4.64,9.88,7.28,9.83,7.19,0.00024903
E4203,1.52,6.83,0.02,6.09,1.92,3.39,9.97,2.14,4.77,3.837e-05
E4204,0.41,8.82,9.7,1.61,7.26,9.64,1.97,4.84,2.3,0.00026268
E4205,2.1,2.66,8.84,5.94,0.85,0.37,8.8,6.4,8.69,0.00011971
E4206,6.26,3.74,1.56,2.51,4.54,1.21,5.72,2.83,7.15,0.00021659
E4207,0.7,3.51,3.69,0.68,9.72,5.27,1.32,1.98,6.7,0.00030349
E4208,6.3,3.72,1.68,1.29,1.95,2.09,9.13,0.5,3.9,0.00022559
E4209,9.22,9.59,1.9,6.44,2.73,4.99,2.92,2.9,5.49,0.00021094
E4210,0.56,2.79,7.28,9.14,6.44,7.33,7.3,4.64,2.78,0.00026608
E4211,4.26,5.45,6.81,0.03,9.33,6.16,1.14,8.19,5.48,0.00033877
E4212,2.28,2.19,4.54,0.74,9.33,0.86,6.53,9.04,4.51,0.00014508
E4213,5.91,8.97,5.69,8.56,8.16,7.57,7.24,7.26,1.01,0.00015681
E4214,6.53,0.03,0.29,8.39,8.32,4.31,9.17,7.69,9.95,0.00030655
E4215,9.09,2.61,4.03,2.56,7.67,9.18,7.41,7.36,8.39,0.00036101
E4216,2.13,4.26,7.63,7.22,2.98,4.18,6.91,7.1,3.4,0.00015481
E4217,8.69,8.46,7.04,6.62,6.93,1.79,9.64,1.16,7.8,0.00031047
E4218,8.05,6.88,6.41,5.18,4.19,0.75,1.59,3.0,4.07,0.00018549
E4219,6.87,7.51,0.26,3.0,2.91,7.67,0.91,4.19,6.79,0.00011073
E4220,4.35,2.96,7.72,1.97,9.57,4.5,3.98,1.09,8.08,0.00019646
E4221,0.66,7.01,4.56,9.17,2.82,6.5,9.4,7.28,3.84,0.00031594
E4222,9.31,1.04,9.15,4.82,6.16,9.91,7.75,5.01,1.41,0.00024501
E4223,6.96,1.46,3.67,4.01,4.64,6.19,7.21,8.6,3.68,0.00016144
E4224,2.2,0.96,3.86,3.94,9.06,4.56,0.17,7.91,4.67,0.00014487
E4225,4.95,4.33,1.16,6.83,1.79,8.21,4.57,1.7,6.48,0.00039078
E4226,7.35,3.29,2.52,0.91,5.87,3.47,6.21,9.2,8.04,0.00019162
E4227,7.74,6.8,2.8,0.48,0.99,1.75,3.48,2.71,9.51,4.92e-06
E4228,6.99,7.28,3.71,3.17,1.32,9.81,8.05,1.96,7.79,0.00022877
E4229,1.16,7.99,7.01,7.97,9.69,6.68,5.3,8.76,1.68,8.148e-05
E4230,3.4,9.39,7.96,7.5,7.06,8.38,6.91,9.37,6.53,0.00038513
E4231,8.91,6.8,6.54,7.26,6.66,4.51,8.32,1.54,7.36,0.00012722
E4232,4.97,3.96,3.83,1.11,6.9,5.52,4.63,3.38,3.21,6.334e-05
E4233,1.1,8.76,9.51,0.19,4.91,7.14,6.16,4.6,8.66,0.00028493
E4234,6.14,8.81,8.2,0.38,3.16,9.99,2.71,3.08,0.77,0.0003562
E4235,5.01,4.65,3.34,1.18,1.73,4.22,8.92,2.87,6.27,0.00038565
E4236,7.31,1.53,7.04,2.23,2.6,7.49,0.04,3.78,1.69,0.0003273
E4237,9.42,5.21,5.55,9.82,8.76,6.41,4.98,5.3,2.97,0.00026272
E4238,7.67,4.6,0.96,9.18,8.65,4.21,4.01,5.71,0.66,0.00023696
E4239,8.49,1.8,5.11,6.91,4.79,6.3,7.26,6.89,4.74,0.00010756
E4240,0.81,5.76,1.16,3.55,8.55,6.7,4.59,0.47,8.11,4.811e-05
E4241,5.35,5.46,5.78,0.35,4.5,9.02,0.71,5.6,9.84,0.00017523
E4242,6.0,3.04,8.73,6.8,8.3,5.85,8.04,3.68,0.5,0.00020588
E4243,1.85,4.98,7.15,0.75,1.84,0.16,7.97,5.96,5.24,0.00034304
E4244,7.21,0.17,7.72,3.14,5.27,6.93,3.85,0.38,4.75,5.225e-05
E4245,2.29,5.87,0.11,2.21,8.06,9.11,3.75,7.92,6.68,0.00031109
E4246,3.0,1.14,4.86,0.73,9.76,8.51,2.92,0.36,7.27,0.00024618
E4247,3.94,2.69,4.26,2.02,9.52,6.42,9.31,1.25,9.85,0.00021303
E4248,2.1,9.4,5.65,8.94,8.12,8.76,2.09,5.87,5.17,0.00034329
E4249,7.73,2.62,1.4,6.47,3.6,6.47,5.77,7.78,9.28,0.00016299
E4250,6.88,1.17,0.61,2.77,9.31,1.11,6.28,3.45,7.29,4.759e-05
E4251,7.04,4.07,6.59,7.89,1.49,5.6,0.97,7.32,6.28,0.0001809
E4252,6.49,1.56,1.23,8.01,1.22,3.35,1.5,7.58,0.85,0.00038099
E4253,7.4,5.84,9.95,4.35,5.52,5.63,4.68,7.61,7.22,0.00032644
E4254,7.69,2.64,0.14,8.52,6.73,0.32,4.25,3.45,7.68,0.00027787
E4255,7.31,3.45,3.11,4.93,7.64,2.4,1.43,1.8,8.29,0.00018942
E4256,3.18,3.22,6.31,5.11,4.94,3.67,0.18,1.67,0.29,0.00011157
E4257,8.02,2.89,0.92,7.05,1.29,2.91,3.74,4.92,1.94,0.00036477
E4258,6.88,8.45,1.02,3.52,9.05,9.55,4.29,0.81,7.92,0.00028692
E4259,7.91,4.85,1.45,2.52,8.5,1.02,7.04,3.14,2.51,2.878e-05
E4260,1.83,3.79,2.39,1.74,5.02,5.34,6.74,8.75,4.87,1.476e-05
E4261,0.96,1.22,8.49,8.12,4.64,6.33,9.82,7.89,7.88,0.00021745
E4262,0.81,4.54,5.47,3.9,3.82,8.39,4.26,2.92,2.75,1.515e-05
E4263,5.18,0.81,1.08,6.38,3.85,8.25,9.57,4.99,7.13,8e-07
E4264,0.88,7.07,8.08,9.69,4.4,4.94,5.69,9.34,3.71,0.00025183
E4265,1.86,6.78,3.37,2.6,2.71,5.67,2.4,8.84,4.85,0.00020136
E4266,7.81,7.54,5.76,6.21,1.46,8.68,4.22,4.74,9.36,0.00032553
E4267,1.31,2.84,2.21,2.27,2.11,4.23,0.68,6.93,5.31,0.00018907
E4268,4.74,6.82,0.77,8.91,5.57,8.42,7.42,2.3,3.66,7.882e-05
E4269,4.45,5.46,6.39,2.14,5.91,6.54,4.14,3.94,5.98,2.22e-05
E4270,9.83,7.89,8.46,2.19,6.76,7.93,7.11,8.61,8.94,0.00034549
E4271,6.08,0.91,9.37,9.38,8.85,1.23,3.27,2.12,5.13,8.828e-05
E4272,5.12,4.61,8.25,7.8,5.5,6.09,6.81,0.81,0.82,0.00036729
E4273,3.94,2.44,7.4,6.88,0.9,0.9,2.86,2.6,1.6,0.0002915
E4274,9.28,6.33,8.8,1.68,5.34,8.96,8.99,4.17,4.02,0.00028819
E4275,2.7,7.33,3.84,9.03,6.48,9.65,0.94,8.49,5.19,0.00024357
E4276,7.09,2.72,8.47,3.2,8.99,6.27,5.49,6.3,5.24,0.0003186
E4277,0.9,0.79,6.63,7.04,0.66,6.29,3.48,7.93,5.01,7.761e-05
E4278,3.65,4.45,9.02,0.75,0.4,4.86,2.18,2.57,4.23,2.59e-05
E4279,9.31,6.06,2.24,8.85,1.05,2.09,2.08,2.43,5.29,0.00023728
E4280,1.13,0.73,5.79,5.85,7.29,2.35,7.93,9.85,6.92,3.339e-05
E4281,3.14,2.1,2.75,0.87,5.36,5.1,2.35,2.08,8.71,0.00024829
E4282,5.29,2.05,4.26,4.92,3.47,6.33,9.79,2.6,5.28,0.00028724
E4283,0.94,5.37,8.48,6.74,7.77,3.31,3.84,4.1,2.12,0.00036323
E4284,8.51,1.8,7.06,9.95,1.89,1.9,1.42,6.6,4.48,0.00024995
E4285,8.48,0.92,4.53,7.76,7.57,4.96,1.69,7.28,5.86,0.00023428
E4286,9.64,9.9,1.7,6.18,6.44,0.92,6.63,6.06,5.2,0.0003713
E4287,3.42,4.53,6.37,4.82,8.01,7.42,6.18,1.25,3.13,0.00038282
E4288,2.94,0.23,7.13,7.72,3.91,8.8,3.05,1.51,7.57,0.00019333
E4289,3.98,6.01,3.64,2.66,5.27,4.65,5.98,1.86,5.62,3.113e-05
E4290,4.03,2.5,8.06,0.47,5.95,9.01,6.26,6.75,5.92,0.00011776
E4291,0.74,8.13,0.61,4.12,8.49,0.1,9.1,2.72,6.21,0.00036515
E4292,6.89,7.43,0.98,6.79,2.0,4.67,2.32,9.87,9.96,0.00015469
E4293,5.32,6.56,4.22,0.29,2.32,2.39,4.42,3.81,0.53,1.323e-05
E4294,6.94,7.97,4.17,2.95,5.4,7.62,2.45,4.7,7.28,0.00033237
E4295,9.7,1.96,1.47,9.61,7.43,7.75,5.62,6.89,5.43,8.767e-05
E4296,3.03,9.04,2.33,2.79,0.47,5.38,4.06,4.12,4.73,9.642e-05
E4297,6.53,2.67,4.56,5.02,7.54,3.84,3.89,1.95,3.13,0.00021102
E4298,6.88,4.05,7.47,7.33,6.24,4.63,1.99,3.82,3.05,0.00026261
E4299,2.22,1.87,9.21,9.63,9.25,6.69,8.01,7.51,1.89,0.00031166
E4300,5.39,8.75,3.13,0.61,9.47,9.37,6.18,4.15,4.61,0.00025349
E4301,2.29,1.79,0.24,2.31,4.84,8.23,2.88,1.05,9.1,0.00037432
E4302,0.55,0.49,5.13,7.66,0.64,5.89,8.68,6.88,9.21,0.00015355
E4303,5.95,2.04,1.05,1.36,2.73,2.01,8.0,4.62,7.49,8.944e-05
E4304,3.0,1.9,7.37,4.73,2.94,6.86,8.65,1.86,3.8,2.445e-05
E4305,7.93,9.93,3.03,5.82,5.87,9.14,0.7,8.37,9.15,0.00032374
E4306,1.33,2.58,3.27,1.96,5.86,6.97,7.52,7.25,1.7,5.607e-05
E4307,6.1,5.73,9.71,9.54,9.96,8.71,7.76,3.49,7.04,0.00016524
E4308,7.56,3.58,6.24,9.06,9.43,3.58,1.78,2.93,1.52,0.00027648
E4309,3.99,9.21,3.24,3.55,0.63,7.19,0.41,5.76,0.61,0.00031734
E4310,3.67,2.01,7.3,0.67,1.05,6.94,6.09,0.4,4.96,8.624e-05
E4311,0.86,3.42,8.98,0.54,0.1,0.33,8.14,2.55,8.7,0.00016946
E4312,4.98,5.81,8.81,2.06,5.84,7.95,4.19,9.48,8.76,0.0002665
E4313,8.82,2.5,8.77,4.88,8.07,8.38,8.44,0.29,5.65,3.082e-05
E4314,4.58,8.0,4.38,2.28,9.12,9.18,1.77,9.11,2.29,0.00014136
E4315,3.85,2.15,1.59,5.5,2.94,0.94,3.8,4.84,8.91,4.127e-05
E4316,5.17,3.34,4.19,8.83,4.85,6.93,6.18,5.73,0.91,0.0002724
E4317,1.79,1.2,7.2,7.36,8.4,2.03,0.96,9.05,7.55,0.00028445
E4318,0.11,8.0,2.61,2.19,6.09,8.49,4.04,6.62,9.78,0.00016259
E4319,7.98,3.52,8.6,9.89,9.25,9.96,8.24,3.82,7.02,0.00015808
E4320,4.67,2.31,8.22,8.87,9.44,4.59,6.32,9.06,5.77,0.000297
E4321,3.3,5.86,4.5,1.76,8.47,6.66,4.37,5.99,4.08,5.568e-05
E4322,2.83,0.38,2.5,5.2,1.83,8.24,0.77,7.35,8.54,2.972e-05
E4323,1.68,3.96,8.23,7.85,9.68,5.61,3.26,9.36,4.72,0.00011896
E4324,0.42,4.0,8.45,6.25,7.67,4.25,0.77,7.69,5.52,0.00018076
E4325,8.62,9.72,8.03,0.32,3.88,7.13,2.31,3.88,8.34,0.000162
E4326,5.73,3.52,3.14,9.1,5.06,9.81,9.76,2.98,8.06,0.00027322
E4327,5.02,9.91,5.91,0.25,1.59,4.8,7.75,8.16,8.92,0.00017135
E4328,8.33,5.53,9.18,3.94,0.48,6.72,2.94,4.93,2.34,0.00023489
E4329,7.78,5.01,2.36,3.92,5.29,7.99,5.26,5.63,0.44,9.4e-06
E4330,2.37,2.82,7.55,2.8,4.13,6.73,4.78,0.22,2.59,0.00032286
E4331,0.39,6.88,1.25,7.7,7.55,9.95,3.57,3.06,7.23,0.00029678
E4332,6.64,8.57,3.26,3.52,8.64,3.76,0.68,1.81,0.6,0.00033949
E4333,2.95,4.24,3.83,5.92,5.82,2.43,7.05,5.46,2.81,0.00035358
E4334,8.57,9.83,9.5,9.22,9.25,5.07,6.2,1.79,4.15,0.00017863
E4335,9.63,3.98,8.03,1.05,5.94,5.39,9.54,3.57,9.71,0.00015089
E4336,6.02,7.11,2.14,4.46,3.25,8.92,0.05,0.88,1.38,9.563e-05
E4337,2.05,9.64,7.19,8.21,9.31,4.68,3.18,4.98,0.62,9.069e-05
E4338,0.01,1.19,9.76,1.21,9.87,1.85,5.34,6.67,9.04,7.097e-05
E4339,2.03,5.53,0.98,2.37,6.14,7.58,5.61,3.1,2.09,0.0003506
E4340,1.14,2.1,3.39,9.43,7.66,9.39,1.96,6.5,3.45,0.00017558
E4341,5.83,6.13,3.33,1.57,6.92,4.57,4.75,2.29,7.21,0.00031588
E4342,6.48,3.59,0.14,0.65,5.33,9.57,6.14,5.17,5.41,0.00037893
E4343,6.46,0.59,8.09,1.31,8.65,3.18,2.41,9.85,6.83,0.00021146
E4344,3.64,5.1,9.54,3.82,0.05,1.3,9.8,3.73,1.56,0.00025968
E4345,3.71,0.39,9.79,2.57,1.45,1.85,8.02,9.73,7.35,1.13e-05
E4346,6.21,9.95,0.53,7.36,6.14,5.15,0.08,2.25,9.22,7e-08
E4347,2.06,4.99,6.04,2.95,2.71,1.35,8.57,8.75,4.78,0.00020063
E4348,6.56,4.79,3.27,0.36,4.75,5.17,4.81,9.03,3.56,7.178e-05
E4349,8.24,2.1,8.6,7.92,6.51,9.81,4.68,4.97,5.53,7.614e-05
E4350,2.92,5.87,6.01,5.32,7.54,7.19,6.67,7.53,8.7,0.00017523
E4351,4.71,0.42,7.31,2.27,1.02,5.19,7.85,5.16,9.27,0.00027008
E4352,7.0,6.39,3.54,8.51,3.05,0.01,3.2,2.89,9.56,0.00026678
E4353,6.08,6.81,0.03,4.7,7.56,5.74,9.55,3.86,1.95,0.00016561
E4354,1.84,1.66,3.31,0.93,8.39,0.22,2.46,9.48,7.8,0.0003337
E4355,7.39,5.0,2.41,9.91,4.49,8.46,9.3,9.28,6.39,3.304e-05
E4356,2.75,2.43,2.49,4.61,3.73,0.01,9.05,4.99,6.72,0.00024077
E4357,2.19,5.49,7.43,7.08,2.09,7.94,2.04,8.47,2.29,0.00018981
